Day fraction since midnight on 	pH probe (pH)	air slope ()	air valve control ()	
0.60090697	7.725131512	0	NaN
0.600918542	7.727334023	0	NaN
0.600930146	7.734005451	0	NaN
0.600941708	7.735224247	0	NaN
0.600953272	7.721895695	0	NaN
0.600964858	7.715744019	0	NaN
0.600976417	7.723110676	0	NaN
0.600987989	7.727660656	0	NaN
0.600999579	7.654352188	0	NaN
0.601011147	7.72672224	0	NaN
0.601022748	7.738624573	0	NaN
0.601034315	7.739987373	0	NaN
0.601045886	7.765804768	0	NaN
0.601057441	7.756618023	0	NaN
0.601069004	7.756029129	0	NaN
0.601080588	7.721595287	0	NaN
0.60109218	7.749676228	0	NaN
0.60110373	7.769678116	0	NaN
0.601115315	7.776368141	0	NaN
0.601126881	7.77487421	0	NaN
0.601138468	7.777050495	0	NaN
0.601150051	7.773810387	0	NaN
0.601161602	7.75609684	0	NaN
0.601173181	7.752459526	0	NaN
0.60118477	7.70547533	0	NaN
0.601196334	7.731753826	0	NaN
0.601207921	7.705595493	0	NaN
0.601219496	7.680245876	0	NaN
0.60123105	7.64662838	0	NaN
0.601242615	7.639441013	0	NaN
0.601254199	7.634057045	0	NaN
0.601265762	7.679866314	0	NaN
0.601277338	7.602625847	0	NaN
0.601288955	7.610836029	0	NaN
0.601300485	7.649099827	0	NaN
0.601312076	7.648282528	0	NaN
0.601323647	7.629488468	0	NaN
0.601335252	7.641291142	0	NaN
0.601346807	7.622722626	0	NaN
0.601358392	7.633147717	0	NaN
0.60136993	7.620126247	0	NaN
0.601381508	7.604107857	0	NaN
0.601393091	7.597103596	0	NaN
0.601404658	7.591911793	0	NaN
0.601416227	7.603889942	0	NaN
0.601427844	7.564422131	0	NaN
0.601439393	7.5792799	0	NaN
0.601450962	7.544324398	0	NaN
0.60146253	7.538221359	0	NaN
0.601474097	7.529108524	0	NaN
0.601485677	7.53682518	0	NaN
0.601497248	7.508543015	0	NaN
0.601508839	7.527344227	0	NaN
0.601520433	7.506739616	0	NaN
0.601532	7.512935638	0	NaN
0.601543557	7.489935398	0	NaN
0.601555132	7.489420891	0	NaN
0.601566711	7.472668648	0	NaN
0.601578274	7.464714527	0	NaN
0.601589853	7.465374947	0	NaN
0.601601426	7.438337803	0	NaN
0.601613015	7.434900761	0	NaN
0.601624563	7.433719635	0	NaN
0.601636166	7.417886734	0	NaN
0.601647706	7.410331726	0	NaN
0.601659303	7.417181015	0	NaN
0.601670856	7.395730019	0	NaN
0.60168244	7.451013565	0	NaN
0.601694026	7.402348518	0	NaN
0.601705594	7.393080235	0	NaN
0.601717154	7.37125349	0	NaN
0.601728741	7.394258976	0	NaN
0.601740301	7.36948061	0	NaN
0.60175189	7.365738869	0	NaN
0.601763457	7.378479004	0	NaN
0.601775034	7.386118412	0	NaN
0.601786629	7.325458527	0	NaN
0.601798192	7.336065292	0	NaN
0.601809761	7.295447826	0	NaN
0.60182132	7.302866459	0	NaN
0.601832914	7.293940544	0	NaN
0.601844467	7.250426292	0	NaN
0.601856063	7.217861652	0	NaN
0.601867633	7.271478176	0	NaN
0.601879209	7.30032301	0	NaN
0.601890767	7.280771732	0	NaN
0.601902358	7.271422863	0	NaN
0.601913911	7.262192249	0	NaN
0.601925511	7.291195393	0	NaN
0.60193706	7.265863419	0	NaN
0.601948679	7.254410267	0	NaN
0.60196022	7.233633995	0	NaN
0.601971802	7.230463982	0	NaN
0.60198338	7.241424561	0	NaN
0.601994973	7.230803967	0	NaN
0.60200651	7.204974651	0	NaN
0.602018107	7.221678734	0	NaN
0.60202967	7.199409485	0	NaN
0.60204123	7.256275654	0	NaN
0.602052823	7.152536392	0	NaN
0.602064374	7.198970795	0	NaN
0.602075963	7.198001385	0	NaN
0.602087533	7.183271885	0	NaN
0.602099098	7.16712141	0	NaN
0.602110672	7.203620911	0	NaN
0.602122243	7.171032906	0	NaN
0.602133819	7.167207241	0	NaN
0.602145397	7.208252907	0	NaN
0.602156978	7.207377911	0	NaN
0.602168563	7.155521393	0	NaN
